LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS,SUM OF COUNT RATE R02 AND R03 (CPM)
FL: JACKSONVILLE,01/01/2020 00:18:00,118.0,1207.0,671.0,203.0,102.0,68.0,93.0,44.0,22.0,APPROVED,1878.0
FL: JACKSONVILLE,01/01/2020 01:18:00,124.0,1209.0,669.0,205.0,102.0,68.0,91.0,44.0,22.0,APPROVED,1878.0
FL: JACKSONVILLE,01/01/2020 02:18:00,123.0,1211.0,672.0,209.0,104.0,68.0,92.0,45.0,22.0,APPROVED,1883.0
FL: JACKSONVILLE,01/01/2020 03:18:00,,1219.0,674.0,213.0,103.0,66.0,95.0,45.0,21.0,APPROVED,1893.0
FL: JACKSONVILLE,01/01/2020 04:19:00,,1225.0,686.0,213.0,104.0,69.0,94.0,43.0,23.0,APPROVED,1911.0
FL: JACKSONVILLE,01/01/2020 05:19:00,,1227.0,692.0,216.0,107.0,69.0,95.0,45.0,22.0,APPROVED,1919.0
FL: JACKSONVILLE,01/01/2020 06:19:00,,1230.0,696.0,218.0,105.0,68.0,96.0,46.0,23.0,APPROVED,1926.0
FL: JACKSONVILLE,01/01/2020 07:19:00,,1226.0,699.0,216.0,107.0,71.0,99.0,46.0,22.0,APPROVED,1925.0
FL: JACKSONVILLE,01/01/2020 08:19:00,,1235.0,692.0,213.0,107.0,70.0,97.0,46.0,21.0,APPROVED,1927.0
FL: JACKSONVILLE,01/01/2020 09:20:00,,1230.0,690.0,217.0,108.0,70.0,98.0,45.0,23.0,APPROVED,1920.0
FL: JACKSONVILLE,01/01/2020 10:20:00,,1230.0,694.0,216.0,110.0,70.0,96.0,46.0,22.0,APPROVED,1924.0
FL: JACKSONVILLE,01/01/2020 11:20:00,,1228.0,691.0,216.0,110.0,70.0,97.0,47.0,23.0,APPROVED,1919.0
FL: JACKSONVILLE,01/01/2020 12:20:00,,1224.0,690.0,212.0,107.0,67.0,95.0,46.0,23.0,APPROVED,1914.0
FL: JACKSONVILLE,01/01/2020 13:20:00,,1220.0,689.0,214.0,109.0,69.0,94.0,46.0,23.0,APPROVED,1909.0
FL: JACKSONVILLE,01/01/2020 14:21:00,,1223.0,688.0,214.0,105.0,70.0,96.0,45.0,23.0,APPROVED,1911.0
